"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","area","X_coord","Y_coord","InferredCellType"
"136",5572,5874,1195,507,7145,354,9485,1893,1497,4873,767,12235,3786,3943.25198098257,156.84970945589,"Other"
"137",17567,10708,5717,931,12705,1959,6576,24305,2572,544,710,8713,5321,2065.51193384702,158.621311783499,"Mixed"
"138",2188,10294,1601,15377,8671,606,10079,5068,2147,10547,794,24211,3188,8340.66311166876,153.000941028858,"Mixed"
"139",2164,7519,2173,408,6293,1156,5739,10663,2384,444,687,8408,1874,8979.89114194237,151.651013874066,"Other"
"140",9512,7295,1109,707,11858,2413,5142,2097,2810,689,706,7774,4119,371.898761835397,164.89050740471,"Mixed"
"141",4217,8344,1648,583,24148,1489,8595,7845,4856,8861,787,19828,3569,865.24852899972,157.437937797702,"Mixed"
"142",4009,6885,664,276,8589,483,7932,4073,2256,5028,642,12869,4570,7864.73960612691,176.526695842451,"Other"
"143",34467,8290,1071,485,10438,889,5590,10244,2128,497,655,9039,4624,2148.59948096886,156.800173010381,"Myocytes"
"144",4616,7615,785,581,11080,176,7324,5847,2345,9064,757,19746,3332,8826.16206482593,167.560324129652,"Mixed"
"145",1845,6338,3705,12579,14590,3192,11458,7069,1834,10977,1205,14842,3903,7046.34742505765,161.97617217525,"Mixed"
"146",2518,9701,3858,5529,7605,3021,17327,3555,2334,6448,833,16046,3171,2375.53894670451,167.242510249133,"Mixed"
"147",4121,9353,4988,707,12994,1823,6799,6330,2677,5882,647,13404,4342,2726.97259327499,169.66904652234,"Extracellular matrix"
"148",5755,7446,848,1342,5459,1941,5277,3976,2231,1462,704,8766,3805,260.116688567674,162.414191852825,"Extracellular matrix"
"149",3858,6463,930,926,19642,192,12854,1892,1655,8350,833,17476,3986,7233.72453587556,179.518564977421,"Mixed"
"150",2190,7006,1280,384,6508,1483,5824,8774,2038,806,880,8344,1813,7967.28350799779,174.993932708218,"Extracellular matrix"
"151",2336,7924,838,2808,9835,647,8000,2636,1728,13595,2476,13685,4346,4480.79452369995,169.850207086977,"Mixed"
"152",2326,7970,3551,339,7311,1766,11759,6981,2147,8932,837,31366,2755,8234.62613430127,181.997459165154,"Mixed"
"153",2239,7494,593,874,335,1418,6188,2318,2349,6943,841,10112,1989,7311.01960784314,169.595274007039,"Extracellular matrix"
"154",16894,8254,1148,421,13014,1717,6209,3409,2499,663,670,10044,4577,8114.40353943631,177.904522613065,"Mixed"
"155",1721,6471,887,410,5015,93,10528,1673,1991,10869,638,17025,3121,9410.02531239987,179.63953860942,"Mixed"
"156",3052,7268,1598,365,3807,781,8860,2391,2020,5324,916,10186,3368,134.188836104513,170.67606888361,"Other"
"157",7386,6624,2093,16522,4136,1715,7182,2660,1646,15576,983,16325,4551,7098.9090309822,185.584267194023,"Mixed"
"158",3719,7916,1212,1004,4820,752,11430,3362,2251,6673,781,16514,3611,78.3057324840764,175.735253392412,"Mixed"
"159",6330,5640,1496,650,6352,1487,6126,2688,1858,16457,696,8683,2556,3761.09780907668,194.458920187793,"Mixed"
"160",2258,7122,1580,366,5502,1706,14446,6179,1877,1365,758,16425,2571,7936.58381952548,188.206145468689,"Mixed"
"161",6186,15175,9661,1049,18474,1333,8653,8312,2439,7926,793,19283,3442,8936.48024404416,187.226902963393,"Mixed"
"162",2237,8244,3205,485,4101,1993,7505,6809,2799,5763,710,12471,3487,1667.47318611987,187.331230283912,"Extracellular matrix"
"163",2523,7183,649,535,331,1174,6460,4509,1975,5412,1720,9506,2375,5490.47031578947,179.942736842105,"Other"
"164",3440,8615,1623,433,12536,1085,6625,11474,2355,1514,791,9097,2336,2774.36643835616,194.292380136986,"Extracellular matrix"
"165",5239,6420,924,444,13782,484,5433,6338,1773,14377,695,12702,2741,3826.47829259394,190.155417730755,"Mixed"
"166",1980,6284,1126,1145,7740,245,8737,3448,1722,20325,778,12839,4268,4851.13847235239,199.84137769447,"Lymphatic vessel"
"167",2349,7281,759,576,6376,1098,9654,6236,2217,10395,724,15493,5338,8593.25946047209,196.410828025478,"Mixed"
"168",1959,7640,885,503,3579,841,19579,4193,1949,7188,973,12748,6349,521.722003465113,203.509056544338,"Epithelial cells"
"169",2851,8203,995,397,5545,1771,6246,4639,2432,4932,1086,9350,3593,1612.06262176454,202.813247982188,"Extracellular matrix"
"170",2133,7795,1502,396,8569,724,11511,2973,2070,10191,822,25505,2353,8338.33276668083,200.363365915852,"Mixed"
"171",1951,6549,852,395,29723,249,5703,2533,1706,6713,631,11193,2039,4726.13094654242,197.78764100049,"T-cells Mixed"
"172",37110,7985,763,331,5282,599,5532,2586,2531,433,587,8537,2201,2221.85143116765,189.472512494321,"Myocytes"
"173",20422,8015,876,310,6878,434,5573,2018,2180,365,715,8664,3225,2172.96217054264,199.470697674419,"Myocytes"
"174",6245,7258,1994,602,4931,506,8877,2736,2013,6985,871,14696,4068,180.439282202557,207.981071779744,"Mixed"
"175",2196,9066,5928,1892,8420,5950,5975,3668,2104,5290,821,11407,2167,2405.56022150438,201.13751730503,"Mixed"
"176",10646,11968,7571,676,8682,1177,12328,4369,2139,13230,794,12594,4055,36.5758323057953,206.353390875462,"Mixed"
"177",2192,9173,4144,817,9480,6382,6589,6215,2483,4562,715,12297,1549,2437.41058747579,197.638476436411,"Extracellular matrix"
"178",1652,5695,760,952,5602,177,7185,3262,1652,7272,661,19721,2293,3975.8613170519,200.181421718273,"Mixed"
"179",1703,6353,878,411,6098,387,7271,2101,1661,7353,744,12636,2651,4683.51225952471,215.462466993587,"Other"
"180",2231,14538,9006,2851,14000,1548,6832,6301,2171,4612,668,11024,2549,2476.01412318556,202.243624950961,"Mixed"
"181",1711,6212,1397,2436,2642,2171,10570,4529,1476,6765,966,16160,3386,7031.4748966332,218.331955109273,"Mixed"
"182",2067,6285,910,559,8311,182,6877,2506,1893,9895,593,14643,1198,3933.58848080134,197.875626043406,"Mixed"
"183",3051,6869,1411,534,16832,984,5981,3706,1871,4567,892,10826,3638,5398.67262231996,215.264156129742,"T-cells Mixed"
"184",2292,8061,920,544,10024,1277,7536,5427,2778,9497,852,14853,3265,336.01010719755,211.906584992343,"Mixed"
"185",2134,6229,1221,370,14944,3185,6954,2976,2275,7601,659,9204,2569,6982.71467497081,207.775009731413,"Mixed"
"186",1790,6639,2198,1272,3644,9,4556,2013,1925,648,847,7766,3799,5268.43853645696,206.623848381153,"Other"
"187",2041,6250,1215,345,9750,2679,7048,2347,1787,7262,543,10290,2489,5447.50220972278,204.616713539574,"Extracellular matrix"
"188",5351,10662,5571,800,4932,252,7272,1483,2668,7799,673,15480,3026,4528.62194315929,213.353602115003,"Mixed"
"189",28535,8605,1493,506,5639,1580,6341,13263,2755,569,693,8958,4553,2820.76916318911,223.683505381067,"Mixed"
"190",2440,8402,5442,1604,12042,1321,9715,3734,2356,5325,695,19646,3486,8298.34509466437,225.572002294894,"Mixed"
"191",2695,8254,3567,568,7834,4864,7968,5225,3353,8275,860,13787,8648,976.300531914894,239.643154486586,"Extracellular matrix"
"192",3068,7042,793,484,4813,2728,5091,3821,2028,6677,904,8328,5144,6940.96461897356,230.350311041991,"Extracellular matrix"
