"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","InferredCellType"
"202",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"203",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"204",0,1,1,0,1,1,0,0,0,0,0,1,"Mixed"
"205",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"206",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"207",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"208",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"209",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"210",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"211",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"212",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"213",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"214",0,0,1,1,0,0,0,0,0,0,0,1,"Mixed"
"215",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"216",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"217",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"218",1,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"219",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"220",1,0,0,0,0,1,0,0,0,0,0,0,"Mixed"
"221",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"222",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"223",0,0,0,0,0,1,0,0,0,1,0,0,"Mixed"
"224",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"225",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"226",1,1,1,0,0,1,0,1,0,0,0,0,"Mixed"
"227",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"228",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"229",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"230",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"231",1,0,0,0,1,0,0,0,0,0,0,0,"Mixed"
"232",1,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"233",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"234",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"235",0,0,1,0,0,0,0,0,0,0,0,0,"T-cells Mixed"
"236",0,1,1,0,0,1,0,0,0,0,0,0,"Mixed"
"237",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"238",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"239",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"240",0,0,0,0,1,0,0,0,0,1,0,1,"Mixed"
